u,k,Dist_uk
186,4,2140
186,5,3140
186,6,4140
186,7,5140
186,8,6140
186,9,7140
186,10,8140
187,0,1870
187,1,870
187,2,130
187,3,1130
187,4,2130
187,5,3130
187,6,4130
187,7,5130
187,8,6130
187,9,7130
187,10,8130
188,0,1880
188,1,880
188,2,120
188,3,1120
188,4,2120
188,5,3120
188,6,4120
188,7,5120
188,8,6120
188,9,7120
188,10,8120
189,0,1890
189,1,890
189,2,110
189,3,1110
189,4,2110
189,5,3110
189,6,4110
189,7,5110
189,8,6110
189,9,7110
189,10,8110
190,0,1900
190,1,900
190,2,100
190,3,1100
190,4,2100
190,5,3100
190,6,4100
190,7,5100
190,8,6100
190,9,7100
190,10,8100
191,0,1910
191,1,910
191,2,90
191,3,1090
191,4,2090
191,5,3090
191,6,4090
191,7,5090
191,8,6090
191,9,7090
191,10,8090
192,0,1920
192,1,920
192,2,80
192,3,1080
192,4,2080
192,5,3080
192,6,4080
192,7,5080
192,8,6080
192,9,7080
192,10,8080
193,0,1930
193,1,930
193,2,70
193,3,1070
193,4,2070
193,5,3070
193,6,4070
193,7,5070
193,8,6070
193,9,7070
193,10,8070
194,0,1940
194,1,940
194,2,60
194,3,1060
194,4,2060
194,5,3060
194,6,4060
194,7,5060
194,8,6060
194,9,7060
194,10,8060
195,0,1950
195,1,950
195,2,50
195,3,1050
195,4,2050
195,5,3050
195,6,4050
195,7,5050
195,8,6050
195,9,7050
195,10,8050
196,0,1960
196,1,960
196,2,40
196,3,1040
196,4,2040
196,5,3040
196,6,4040
196,7,5040
196,8,6040
196,9,7040
196,10,8040
197,0,1970
197,1,970
197,2,30
197,3,1030
197,4,2030
197,5,3030
197,6,4030
197,7,5030
197,8,6030
197,9,7030
197,10,8030
198,0,1980
198,1,980
198,2,20
198,3,1020
198,4,2020
198,5,3020
198,6,4020
198,7,5020
198,8,6020
198,9,7020
198,10,8020
199,0,1990
199,1,990
199,2,10
199,3,1010
199,4,2010
199,5,3010
199,6,4010
199,7,5010
199,8,6010
199,9,7010
199,10,8010
200,0,2000
200,1,1000
200,2,10
200,3,1000
200,4,2000
200,5,3000
200,6,4000
200,7,5000
200,8,6000
200,9,7000
200,10,8000
201,0,2010
201,1,1010
201,2,10
201,3,990
201,4,1990
201,5,2990
201,6,3990
201,7,4990
201,8,5990
201,9,6990
201,10,7990
202,0,2020
202,1,1020
202,2,20
202,3,980
202,4,1980
202,5,2980
202,6,3980
202,7,4980
202,8,5980
202,9,6980
202,10,7980
203,0,2030
203,1,1030
203,2,30
203,3,970
203,4,1970
203,5,2970
203,6,3970
203,7,4970
203,8,5970
203,9,6970
203,10,7970
204,0,2040
204,1,1040
204,2,40
204,3,960
204,4,1960
204,5,2960
204,6,3960
204,7,4960
204,8,5960
204,9,6960
204,10,7960
205,0,2050
205,1,1050
205,2,50
205,3,950
205,4,1950
205,5,2950
205,6,3950
205,7,4950
205,8,5950
205,9,6950
205,10,7950
206,0,2060
206,1,1060
206,2,60
206,3,940
206,4,1940
206,5,2940
206,6,3940
206,7,4940
206,8,5940
206,9,6940
206,10,7940
207,0,2070
207,1,1070
207,2,70
207,3,930
207,4,1930
207,5,2930
207,6,3930
207,7,4930
207,8,5930
207,9,6930
207,10,7930
208,0,2080
208,1,1080
208,2,80
208,3,920
208,4,1920
208,5,2920
208,6,3920
208,7,4920
208,8,5920
208,9,6920
208,10,7920
209,0,2090
209,1,1090
209,2,90
209,3,910
209,4,1910
209,5,2910
209,6,3910
209,7,4910
209,8,5910
209,9,6910
209,10,7910
210,0,2100
210,1,1100
210,2,100
210,3,900
210,4,1900
210,5,2900
210,6,3900
210,7,4900
210,8,5900
210,9,6900
210,10,7900
211,0,2110
211,1,1110
211,2,110
211,3,890
211,4,1890
211,5,2890
211,6,3890
211,7,4890
211,8,5890
211,9,6890
211,10,7890
212,0,2120
212,1,1120
212,2,120
212,3,880
212,4,1880
212,5,2880
212,6,3880
212,7,4880
212,8,5880
212,9,6880
212,10,7880
213,0,2130
213,1,1130
213,2,130
213,3,870
213,4,1870
213,5,2870
213,6,3870
213,7,4870
213,8,5870
213,9,6870
213,10,7870
214,0,2140
214,1,1140
214,2,140
214,3,860
214,4,1860
214,5,2860
214,6,3860
214,7,4860
214,8,5860
214,9,6860
214,10,7860
215,0,2150
215,1,1150
215,2,150
215,3,850
215,4,1850
215,5,2850
215,6,3850
215,7,4850
215,8,5850
215,9,6850
215,10,7850
216,0,2160
216,1,1160
216,2,160
216,3,840
216,4,1840
216,5,2840
216,6,3840
216,7,4840
216,8,5840
216,9,6840
216,10,7840
217,0,2170
217,1,1170
217,2,170
217,3,830
217,4,1830
217,5,2830
217,6,3830
217,7,4830
217,8,5830
217,9,6830
217,10,7830
218,0,2180
218,1,1180
218,2,180
218,3,820
218,4,1820
218,5,2820
218,6,3820
218,7,4820
218,8,5820
218,9,6820
218,10,7820
219,0,2190
219,1,1190
219,2,190
219,3,810
219,4,1810
219,5,2810
219,6,3810
219,7,4810
219,8,5810
219,9,6810
219,10,7810
220,0,2200
220,1,1200
220,2,200
220,3,800
220,4,1800
220,5,2800
220,6,3800
220,7,4800
220,8,5800
220,9,6800
220,10,7800
221,0,2210
221,1,1210
221,2,210
221,3,790
221,4,1790
221,5,2790
221,6,3790
221,7,4790
221,8,5790
221,9,6790
221,10,7790
222,0,2220
222,1,1220
222,2,220
222,3,780
222,4,1780
222,5,2780
222,6,3780
222,7,4780
222,8,5780
222,9,6780
222,10,7780
223,0,2230
223,1,1230
223,2,230
223,3,770
223,4,1770
223,5,2770
223,6,3770
223,7,4770
223,8,5770
223,9,6770
223,10,7770
224,0,2240
224,1,1240
224,2,240
224,3,760
224,4,1760
224,5,2760
224,6,3760
224,7,4760
224,8,5760
224,9,6760
224,10,7760
225,0,2250
225,1,1250
225,2,250
225,3,750
225,4,1750
225,5,2750
225,6,3750
225,7,4750
225,8,5750
225,9,6750
225,10,7750
226,0,2260
226,1,1260
226,2,260
226,3,740
226,4,1740
226,5,2740
226,6,3740
226,7,4740
226,8,5740
226,9,6740
226,10,7740
227,0,2270
227,1,1270
227,2,270
227,3,730
227,4,1730
227,5,2730
227,6,3730
227,7,4730
227,8,5730
227,9,6730
227,10,7730
228,0,2280
228,1,1280
228,2,280
228,3,720
228,4,1720
228,5,2720
228,6,3720
228,7,4720
228,8,5720
228,9,6720
228,10,7720
229,0,2290
229,1,1290
229,2,290
229,3,710
229,4,1710
229,5,2710
229,6,3710
229,7,4710
229,8,5710
229,9,6710
229,10,7710
230,0,2300
230,1,1300
230,2,300
230,3,700
230,4,1700
230,5,2700
230,6,3700
230,7,4700
230,8,5700
230,9,6700
230,10,7700
231,0,2310
231,1,1310
231,2,310
231,3,690
231,4,1690
231,5,2690
231,6,3690
231,7,4690
231,8,5690
231,9,6690
231,10,7690
232,0,2320
232,1,1320
232,2,320
232,3,680
232,4,1680
232,5,2680
232,6,3680
232,7,4680
232,8,5680
232,9,6680
232,10,7680
233,0,2330
233,1,1330
233,2,330
233,3,670
233,4,1670
233,5,2670
233,6,3670
233,7,4670
233,8,5670
233,9,6670
233,10,7670
234,0,2340
234,1,1340
234,2,340
234,3,660
234,4,1660
234,5,2660
234,6,3660
234,7,4660
234,8,5660
234,9,6660
234,10,7660
235,0,2350
235,1,1350
235,2,350
235,3,650
235,4,1650
235,5,2650
235,6,3650
235,7,4650
235,8,5650
235,9,6650
235,10,7650
236,0,2360
236,1,1360
236,2,360
236,3,640
236,4,1640
236,5,2640
236,6,3640
236,7,4640
236,8,5640
236,9,6640
236,10,7640
237,0,2370
237,1,1370
237,2,370
237,3,630
237,4,1630
237,5,2630
237,6,3630
237,7,4630
237,8,5630
237,9,6630
237,10,7630
238,0,2380
238,1,1380
238,2,380
238,3,620
238,4,1620
238,5,2620
238,6,3620
238,7,4620
238,8,5620
238,9,6620
238,10,7620
239,0,2390
239,1,1390
239,2,390
239,3,610
239,4,1610
239,5,2610
239,6,3610
239,7,4610
239,8,5610
239,9,6610
239,10,7610
240,0,2400
240,1,1400
240,2,400
240,3,600
240,4,1600
240,5,2600
240,6,3600
240,7,4600
240,8,5600
240,9,6600
240,10,7600
241,0,2410
241,1,1410
241,2,410
241,3,590
241,4,1590
241,5,2590
241,6,3590
241,7,4590
241,8,5590
241,9,6590
241,10,7590
242,0,2420
242,1,1420
242,2,420
242,3,580
242,4,1580
242,5,2580
242,6,3580
242,7,4580
242,8,5580
242,9,6580
242,10,7580
243,0,2430
243,1,1430
243,2,430
243,3,570
243,4,1570
243,5,2570
243,6,3570
243,7,4570
243,8,5570
243,9,6570
243,10,7570
244,0,2440
244,1,1440
244,2,440
244,3,560
244,4,1560
244,5,2560
244,6,3560
244,7,4560
244,8,5560
244,9,6560
244,10,7560
245,0,2450
245,1,1450
245,2,450
245,3,550
245,4,1550
245,5,2550
245,6,3550
245,7,4550
245,8,5550
245,9,6550
245,10,7550
246,0,2460
246,1,1460
246,2,460
246,3,540
246,4,1540
246,5,2540
246,6,3540
246,7,4540
246,8,5540
246,9,6540
246,10,7540
247,0,2470
247,1,1470
247,2,470
247,3,530
247,4,1530
247,5,2530
247,6,3530
247,7,4530
247,8,5530
247,9,6530
247,10,7530
248,0,2480
248,1,1480
248,2,480
248,3,520
248,4,1520
248,5,2520
248,6,3520
248,7,4520
248,8,5520
248,9,6520
248,10,7520
249,0,2490
249,1,1490
249,2,490
249,3,510
249,4,1510
249,5,2510
249,6,3510
249,7,4510
249,8,5510
249,9,6510
249,10,7510
250,0,2500
250,1,1500
250,2,500
250,3,500
250,4,1500
250,5,2500
250,6,3500
250,7,4500
250,8,5500
250,9,6500
250,10,7500
251,0,2510
251,1,1510
251,2,510
251,3,490
251,4,1490
251,5,2490
251,6,3490
251,7,4490
251,8,5490
251,9,6490
251,10,7490
252,0,2520
252,1,1520
252,2,520
252,3,480
252,4,1480
252,5,2480
252,6,3480
252,7,4480
252,8,5480
252,9,6480
252,10,7480
253,0,2530
253,1,1530
253,2,530
253,3,470
253,4,1470
253,5,2470
253,6,3470
253,7,4470
253,8,5470
253,9,6470
253,10,7470
254,0,2540
254,1,1540
254,2,540
254,3,460
254,4,1460
254,5,2460
254,6,3460
254,7,4460
254,8,5460
254,9,6460
254,10,7460
255,0,2550
255,1,1550
255,2,550
255,3,450
255,4,1450
255,5,2450
255,6,3450
255,7,4450
255,8,5450
255,9,6450
255,10,7450
256,0,2560
256,1,1560
256,2,560
256,3,440
256,4,1440
256,5,2440
256,6,3440
256,7,4440
256,8,5440
256,9,6440
256,10,7440
257,0,2570
257,1,1570
257,2,570
257,3,430
257,4,1430
257,5,2430
257,6,3430
257,7,4430
257,8,5430
257,9,6430
257,10,7430
258,0,2580
258,1,1580
258,2,580
258,3,420
258,4,1420
258,5,2420
258,6,3420
258,7,4420
258,8,5420
258,9,6420
258,10,7420
259,0,2590
259,1,1590
259,2,590
259,3,410
259,4,1410
259,5,2410
259,6,3410
259,7,4410
259,8,5410
259,9,6410
259,10,7410
260,0,2600
260,1,1600
260,2,600
260,3,400
260,4,1400
260,5,2400
260,6,3400
260,7,4400
260,8,5400
260,9,6400
260,10,7400
261,0,2610
261,1,1610
261,2,610
261,3,390
261,4,1390
261,5,2390
261,6,3390
261,7,4390
261,8,5390
261,9,6390
261,10,7390
262,0,2620
262,1,1620
262,2,620
262,3,380
262,4,1380
262,5,2380
262,6,3380
262,7,4380
262,8,5380
262,9,6380
262,10,7380
263,0,2630
263,1,1630
263,2,630
263,3,370
263,4,1370
263,5,2370
263,6,3370
263,7,4370
263,8,5370
263,9,6370
263,10,7370
264,0,2640
264,1,1640
264,2,640
264,3,360
264,4,1360
264,5,2360
264,6,3360
264,7,4360
264,8,5360
264,9,6360
264,10,7360
265,0,2650
265,1,1650
265,2,650
265,3,350
265,4,1350
265,5,2350
265,6,3350
265,7,4350
265,8,5350
265,9,6350
265,10,7350
266,0,2660
266,1,1660
266,2,660
266,3,340
266,4,1340
266,5,2340
266,6,3340
266,7,4340
266,8,5340
266,9,6340
266,10,7340
267,0,2670
267,1,1670
267,2,670
267,3,330
267,4,1330
267,5,2330
267,6,3330
267,7,4330
267,8,5330
267,9,6330
267,10,7330
268,0,2680
268,1,1680
268,2,680
268,3,320
268,4,1320
268,5,2320
268,6,3320
268,7,4320
268,8,5320
268,9,6320
268,10,7320
269,0,2690
269,1,1690
269,2,690
269,3,310
269,4,1310
269,5,2310
269,6,3310
269,7,4310
269,8,5310
269,9,6310
269,10,7310
270,0,2700
270,1,1700
270,2,700
270,3,300
270,4,1300
270,5,2300
270,6,3300
270,7,4300
270,8,5300
270,9,6300
270,10,7300
271,0,2710
271,1,1710
271,2,710
271,3,290
271,4,1290
271,5,2290
271,6,3290
271,7,4290
271,8,5290
271,9,6290
271,10,7290
272,0,2720
272,1,1720
272,2,720
272,3,280
272,4,1280
272,5,2280
272,6,3280
272,7,4280
272,8,5280
272,9,6280
272,10,7280
273,0,2730
273,1,1730
273,2,730
273,3,270
273,4,1270
273,5,2270
273,6,3270
273,7,4270
273,8,5270
273,9,6270
273,10,7270
274,0,2740
274,1,1740
274,2,740
274,3,260
274,4,1260
274,5,2260
274,6,3260
274,7,4260
274,8,5260
274,9,6260
274,10,7260
275,0,2750
275,1,1750
275,2,750
275,3,250
275,4,1250
275,5,2250
275,6,3250
275,7,4250
275,8,5250
275,9,6250
275,10,7250
276,0,2760
276,1,1760
276,2,760
276,3,240
276,4,1240
276,5,2240
276,6,3240
276,7,4240
276,8,5240
276,9,6240
276,10,7240
277,0,2770
277,1,1770
277,2,770
277,3,230
277,4,1230
277,5,2230
277,6,3230
277,7,4230
277,8,5230
277,9,6230
277,10,7230
278,0,2780
278,1,1780
278,2,780
278,3,220
278,4,1220
278,5,2220
278,6,3220
278,7,4220
278,8,5220
278,9,6220
278,10,7220
279,0,2790
279,1,1790
279,2,790
279,3,210
279,4,1210
279,5,2210
279,6,3210
279,7,4210
279,8,5210
279,9,6210
279,10,7210
280,0,2800
280,1,1800
280,2,800
280,3,200
280,4,1200
280,5,2200
280,6,3200
280,7,4200
280,8,5200
280,9,6200
280,10,7200
281,0,2810
281,1,1810
281,2,810
281,3,190
281,4,1190
281,5,2190
281,6,3190
281,7,4190
281,8,5190
281,9,6190
281,10,7190
282,0,2820
282,1,1820
282,2,820
282,3,180
282,4,1180
282,5,2180
282,6,3180
282,7,4180
282,8,5180
282,9,6180
282,10,7180
283,0,2830
283,1,1830
283,2,830
283,3,170
283,4,1170
283,5,2170
283,6,3170
283,7,4170
283,8,5170
283,9,6170
283,10,7170
284,0,2840
284,1,1840
284,2,840
284,3,160
284,4,1160
284,5,2160
284,6,3160
284,7,4160
284,8,5160
284,9,6160
284,10,7160
285,0,2850
285,1,1850
285,2,850
285,3,150
285,4,1150
285,5,2150
285,6,3150
285,7,4150
285,8,5150
285,9,6150
285,10,7150
286,0,2860
286,1,1860
286,2,860
286,3,140
286,4,1140
286,5,2140
286,6,3140
286,7,4140
286,8,5140
286,9,6140
286,10,7140
287,0,2870
287,1,1870
287,2,870
287,3,130
287,4,1130
287,5,2130
287,6,3130
287,7,4130
287,8,5130
287,9,6130
287,10,7130
288,0,2880
288,1,1880
288,2,880
288,3,120
288,4,1120
288,5,2120
288,6,3120
288,7,4120
288,8,5120
288,9,6120
288,10,7120
289,0,2890
289,1,1890
289,2,890
289,3,110
289,4,1110
289,5,2110
289,6,3110
289,7,4110
289,8,5110
289,9,6110
289,10,7110
290,0,2900
290,1,1900
290,2,900
290,3,100
290,4,1100
290,5,2100
290,6,3100
290,7,4100
290,8,5100
290,9,6100
290,10,7100
291,0,2910
291,1,1910
291,2,910
291,3,90
291,4,1090
291,5,2090
291,6,3090
291,7,4090
291,8,5090
291,9,6090
291,10,7090
292,0,2920
292,1,1920
292,2,920
292,3,80
292,4,1080
292,5,2080
292,6,3080
292,7,4080
292,8,5080
292,9,6080
292,10,7080
293,0,2930
293,1,1930
293,2,930
293,3,70
293,4,1070
293,5,2070
293,6,3070
293,7,4070
293,8,5070
293,9,6070
293,10,7070
294,0,2940
294,1,1940
294,2,940
294,3,60
294,4,1060
294,5,2060
294,6,3060
294,7,4060
294,8,5060
294,9,6060
294,10,7060
295,0,2950
295,1,1950
295,2,950
295,3,50
295,4,1050
295,5,2050
295,6,3050
295,7,4050
295,8,5050
295,9,6050
295,10,7050
296,0,2960
296,1,1960
296,2,960
296,3,40
296,4,1040
296,5,2040
296,6,3040
296,7,4040
296,8,5040
296,9,6040
296,10,7040
297,0,2970
297,1,1970
297,2,970
297,3,30
297,4,1030
297,5,2030
297,6,3030
297,7,4030
297,8,5030
297,9,6030
297,10,7030
298,0,2980
298,1,1980
298,2,980
298,3,20
298,4,1020
298,5,2020
298,6,3020
298,7,4020
298,8,5020
298,9,6020
298,10,7020
299,0,2990
299,1,1990
299,2,990
299,3,10
299,4,1010
299,5,2010
299,6,3010
299,7,4010
299,8,5010
299,9,6010
299,10,7010
300,0,3000
300,1,2000
300,2,1000
300,3,10
300,4,1000
300,5,2000
300,6,3000
300,7,4000
300,8,5000
300,9,6000
300,10,7000
301,0,3010
301,1,2010
301,2,1010
301,3,10
301,4,990
301,5,1990
301,6,2990
301,7,3990
301,8,4990
301,9,5990
301,10,6990
302,0,3020
302,1,2020
302,2,1020
302,3,20
302,4,980
302,5,1980
302,6,2980
302,7,3980
302,8,4980
302,9,5980
302,10,6980
303,0,3030
303,1,2030
303,2,1030
303,3,30
303,4,970
303,5,1970
303,6,2970
303,7,3970
303,8,4970
303,9,5970
303,10,6970
304,0,3040
304,1,2040
304,2,1040
304,3,40
304,4,960
304,5,1960
304,6,2960
304,7,3960
304,8,4960
304,9,5960
304,10,6960
305,0,3050
305,1,2050
305,2,1050
305,3,50
305,4,950
305,5,1950
305,6,2950
305,7,3950
305,8,4950
305,9,5950
305,10,6950
306,0,3060
306,1,2060
306,2,1060
306,3,60
306,4,940
306,5,1940
306,6,2940
306,7,3940
306,8,4940
306,9,5940
306,10,6940
307,0,3070
307,1,2070
307,2,1070
307,3,70
307,4,930
307,5,1930
307,6,2930
307,7,3930
307,8,4930
307,9,5930
307,10,6930
308,0,3080
308,1,2080
308,2,1080
308,3,80
308,4,920
308,5,1920
308,6,2920
308,7,3920
308,8,4920
308,9,5920
308,10,6920
309,0,3090
309,1,2090
309,2,1090
309,3,90
309,4,910
309,5,1910
309,6,2910
309,7,3910
309,8,4910
309,9,5910
309,10,6910
310,0,3100
310,1,2100
310,2,1100
310,3,100
310,4,900
310,5,1900
310,6,2900
310,7,3900
310,8,4900
310,9,5900
310,10,6900
311,0,3110
311,1,2110
311,2,1110
311,3,110
311,4,890
311,5,1890
311,6,2890
311,7,3890
311,8,4890
311,9,5890
311,10,6890
312,0,3120
312,1,2120
312,2,1120
312,3,120
312,4,880
312,5,1880
312,6,2880
312,7,3880
312,8,4880
312,9,5880
312,10,6880
313,0,3130
313,1,2130
313,2,1130
313,3,130
313,4,870
313,5,1870
313,6,2870
313,7,3870
313,8,4870
313,9,5870
313,10,6870
314,0,3140
314,1,2140
314,2,1140
314,3,140
314,4,860
314,5,1860
314,6,2860
314,7,3860
314,8,4860
314,9,5860
314,10,6860
315,0,3150
315,1,2150
315,2,1150
315,3,150
315,4,850
315,5,1850
315,6,2850
315,7,3850
315,8,4850
315,9,5850
315,10,6850
316,0,3160
316,1,2160
316,2,1160
316,3,160
316,4,840
316,5,1840
316,6,2840
316,7,3840
316,8,4840
316,9,5840
316,10,6840
317,0,3170
317,1,2170
317,2,1170
317,3,170
317,4,830
317,5,1830
317,6,2830
317,7,3830
317,8,4830
317,9,5830
317,10,6830
318,0,3180
318,1,2180
318,2,1180
318,3,180
318,4,820
318,5,1820
318,6,2820
318,7,3820
318,8,4820
318,9,5820
318,10,6820
319,0,3190
319,1,2190
319,2,1190
319,3,190
319,4,810
319,5,1810
319,6,2810
319,7,3810
319,8,4810
319,9,5810
319,10,6810
320,0,3200
320,1,2200
320,2,1200
320,3,200
320,4,800
320,5,1800
320,6,2800
320,7,3800
320,8,4800
320,9,5800
320,10,6800
321,0,3210
321,1,2210
321,2,1210
321,3,210
321,4,790
321,5,1790
321,6,2790
321,7,3790
321,8,4790
321,9,5790
321,10,6790
322,0,3220
322,1,2220
322,2,1220
322,3,220
322,4,780
322,5,1780
322,6,2780
322,7,3780
322,8,4780
322,9,5780
322,10,6780
323,0,3230
323,1,2230
323,2,1230
323,3,230
323,4,770
323,5,1770
323,6,2770
323,7,3770
323,8,4770
323,9,5770
323,10,6770
324,0,3240
324,1,2240
324,2,1240
324,3,240
324,4,760
324,5,1760
324,6,2760
324,7,3760
324,8,4760
324,9,5760
324,10,6760
325,0,3250
325,1,2250
325,2,1250
325,3,250
325,4,750
325,5,1750
325,6,2750
325,7,3750
325,8,4750
325,9,5750
325,10,6750
326,0,3260
326,1,2260
326,2,1260
326,3,260
326,4,740
326,5,1740
326,6,2740
326,7,3740
326,8,4740
326,9,5740
326,10,6740
327,0,3270
327,1,2270
327,2,1270
327,3,270
327,4,730
327,5,1730
327,6,2730
327,7,3730
327,8,4730
327,9,5730
327,10,6730
328,0,3280
328,1,2280
328,2,1280
328,3,280
328,4,720
328,5,1720
328,6,2720
328,7,3720
328,8,4720
328,9,5720
328,10,6720
329,0,3290
329,1,2290
329,2,1290
329,3,290
329,4,710
329,5,1710
329,6,2710
329,7,3710
329,8,4710
329,9,5710
329,10,6710
330,0,3300
330,1,2300
330,2,1300
330,3,300
330,4,700
330,5,1700
330,6,2700
330,7,3700
330,8,4700
330,9,5700
330,10,6700
331,0,3310
331,1,2310
331,2,1310
331,3,310
331,4,690
331,5,1690
331,6,2690
331,7,3690
331,8,4690
331,9,5690
331,10,6690
332,0,3320
332,1,2320
332,2,1320
332,3,320
332,4,680
332,5,1680
332,6,2680
332,7,3680
332,8,4680
332,9,5680
332,10,6680
333,0,3330
333,1,2330
333,2,1330
333,3,330
333,4,670
333,5,1670
333,6,2670
333,7,3670
333,8,4670
333,9,5670
333,10,6670
334,0,3340
334,1,2340
334,2,1340
334,3,340
334,4,660
334,5,1660
334,6,2660
334,7,3660
334,8,4660
334,9,5660
334,10,6660
335,0,3350
335,1,2350
335,2,1350
335,3,350
335,4,650
335,5,1650
335,6,2650
335,7,3650
335,8,4650
335,9,5650
335,10,6650
336,0,3360
336,1,2360
336,2,1360
336,3,360
336,4,640
336,5,1640
336,6,2640
336,7,3640
336,8,4640
336,9,5640
336,10,6640
337,0,3370
337,1,2370
337,2,1370
337,3,370
337,4,630
337,5,1630
337,6,2630
337,7,3630
337,8,4630
337,9,5630
337,10,6630
338,0,3380
338,1,2380
338,2,1380
338,3,380
338,4,620
338,5,1620
338,6,2620
338,7,3620
338,8,4620
338,9,5620
338,10,6620
339,0,3390
339,1,2390
339,2,1390
339,3,390
339,4,610
339,5,1610
339,6,2610
339,7,3610
339,8,4610
339,9,5610
339,10,6610
340,0,3400
340,1,2400
340,2,1400
340,3,400
340,4,600
340,5,1600
340,6,2600
340,7,3600
340,8,4600
340,9,5600
340,10,6600
341,0,3410
341,1,2410
341,2,1410
341,3,410
341,4,590
341,5,1590
341,6,2590
341,7,3590
341,8,4590
341,9,5590
341,10,6590
342,0,3420
342,1,2420
342,2,1420
342,3,420
342,4,580
342,5,1580
342,6,2580
342,7,3580
342,8,4580
342,9,5580
342,10,6580
343,0,3430
343,1,2430
343,2,1430
343,3,430
343,4,570
343,5,1570
343,6,2570
343,7,3570
343,8,4570
343,9,5570
343,10,6570
344,0,3440
344,1,2440
344,2,1440
344,3,440
344,4,560
344,5,1560
344,6,2560
344,7,3560
344,8,4560
344,9,5560
344,10,6560
345,0,3450
345,1,2450
345,2,1450
345,3,450
345,4,550
345,5,1550
345,6,2550
345,7,3550
345,8,4550
345,9,5550
345,10,6550
346,0,3460
346,1,2460
346,2,1460
346,3,460
346,4,540
346,5,1540
346,6,2540
346,7,3540
346,8,4540
346,9,5540
346,10,6540
347,0,3470
347,1,2470
347,2,1470
347,3,470
347,4,530
347,5,1530
347,6,2530
347,7,3530
347,8,4530
347,9,5530
347,10,6530
348,0,3480
348,1,2480
348,2,1480
348,3,480
348,4,520
348,5,1520
348,6,2520
348,7,3520
348,8,4520
348,9,5520
348,10,6520
349,0,3490
349,1,2490
349,2,1490
349,3,490
349,4,510
349,5,1510
349,6,2510
349,7,3510
349,8,4510
349,9,5510
349,10,6510
350,0,3500
350,1,2500
350,2,1500
350,3,500
350,4,500
350,5,1500
350,6,2500
350,7,3500
350,8,4500
350,9,5500
350,10,6500
351,0,3510
351,1,2510
351,2,1510
351,3,510
351,4,490
351,5,1490
351,6,2490
351,7,3490
351,8,4490
351,9,5490
351,10,6490
352,0,3520
352,1,2520
352,2,1520
352,3,520
352,4,480
352,5,1480
352,6,2480
352,7,3480
352,8,4480
352,9,5480
352,10,6480
353,0,3530
353,1,2530
353,2,1530
353,3,530
353,4,470
353,5,1470
353,6,2470
353,7,3470
353,8,4470
353,9,5470
353,10,6470
354,0,3540
354,1,2540
354,2,1540
354,3,540
354,4,460
354,5,1460
354,6,2460
354,7,3460
354,8,4460
354,9,5460
354,10,6460
355,0,3550
355,1,2550
355,2,1550
355,3,550
355,4,450
355,5,1450
355,6,2450
355,7,3450
355,8,4450
355,9,5450
355,10,6450
356,0,3560
356,1,2560
356,2,1560
356,3,560
356,4,440
356,5,1440
356,6,2440
356,7,3440
356,8,4440
356,9,5440
356,10,6440
357,0,3570
357,1,2570
357,2,1570
357,3,570
357,4,430
357,5,1430
357,6,2430
357,7,3430
357,8,4430
357,9,5430
357,10,6430
358,0,3580
358,1,2580
358,2,1580
358,3,580
358,4,420
358,5,1420
358,6,2420
358,7,3420
358,8,4420
358,9,5420
358,10,6420
359,0,3590
359,1,2590
359,2,1590
359,3,590
359,4,410
359,5,1410
359,6,2410
359,7,3410
359,8,4410
359,9,5410
359,10,6410
360,0,3600
360,1,2600
360,2,1600
360,3,600
360,4,400
360,5,1400
360,6,2400
360,7,3400
360,8,4400
360,9,5400
360,10,6400
361,0,3610
361,1,2610
361,2,1610
361,3,610
361,4,390
361,5,1390
361,6,2390
361,7,3390
361,8,4390
361,9,5390
361,10,6390
362,0,3620
362,1,2620
362,2,1620
362,3,620
362,4,380
362,5,1380
362,6,2380
362,7,3380
362,8,4380
362,9,5380
362,10,6380
363,0,3630
363,1,2630
363,2,1630
363,3,630
363,4,370
363,5,1370
363,6,2370
363,7,3370
363,8,4370
363,9,5370
363,10,6370
364,0,3640
364,1,2640
364,2,1640
364,3,640
364,4,360
364,5,1360
364,6,2360
364,7,3360
364,8,4360
364,9,5360
364,10,6360
365,0,3650
365,1,2650
365,2,1650
365,3,650
365,4,350
365,5,1350
365,6,2350
365,7,3350
365,8,4350
365,9,5350
365,10,6350
366,0,3660
366,1,2660
366,2,1660
366,3,660
366,4,340
366,5,1340
366,6,2340
366,7,3340
366,8,4340
366,9,5340
366,10,6340
367,0,3670
367,1,2670
367,2,1670
367,3,670
367,4,330
367,5,1330
367,6,2330
367,7,3330
367,8,4330
367,9,5330
367,10,6330
368,0,3680
368,1,2680
368,2,1680
368,3,680
368,4,320
368,5,1320
368,6,2320
368,7,3320
368,8,4320
368,9,5320
368,10,6320
369,0,3690
369,1,2690
369,2,1690
369,3,690
369,4,310
369,5,1310
369,6,2310
369,7,3310
369,8,4310
369,9,5310
369,10,6310
370,0,3700
370,1,2700
370,2,1700
370,3,700
370,4,300
370,5,1300
370,6,2300
370,7,3300
370,8,4300
370,9,5300
370,10,6300
371,0,3710
371,1,2710
371,2,1710
371,3,710
371,4,290
371,5,1290
371,6,2290
371,7,3290
371,8,4290
371,9,5290
371,10,6290
372,0,3720
372,1,2720
372,2,1720
372,3,720
372,4,280
372,5,1280
372,6,2280
372,7,3280
372,8,4280
